Fila PDF,ID,Nombre español,Nombre original,Alternativos originales,Punto personal,Significador,Disparador,Fórmula diurna propuesta,Fórmula nocturna propuesta,Reverse Nocturnal literal,Fuente primaria,Fuentes secundarias,Categorías originales,Dub.,Mult.,Variantes manuscritas,Estado,Advertencias
1,lusby-traditional-0001,Acusación (Firmicus),Accusation (Firmicus),,Asc,Saturn,Mars,normalizar360(Asc + Saturn − Mars),normalizar360(Asc + Saturn − Mars),,FM,,Hellenistic,,,,pending_review,
2,lusby-traditional-0002,Actividad (Olympiodorus 1),Activity (Olympiodorus 1),,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,O1,,Hellenistic,Sí,,1A,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
3,lusby-traditional-0003,Actividad (Olympiodorus 2),Activity (Olympiodorus 2),,Asc,Jupiter,Sun,normalizar360(Asc + Jupiter − Sun),normalizar360(Asc + Sun − Jupiter),reverse,O2,"MSR, MSP, MSV",Hellenistic,,,,pending_review,
4,lusby-traditional-0004,Actividad (Rhetorius),Activity (Rhetorius),"Work; Mastery; Managers, Viziers & Authorities",Asc,Mars,Mercury,normalizar360(Asc + Mars − Mercury),normalizar360(Asc + Mercury − Mars),reverse,RE,"MSL, BA, SB, GI","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
5,lusby-traditional-0005,Adulterio 1,Adultery 1,,Asc,Mars,Venus,normalizar360(Asc + Mars − Venus),normalizar360(Asc + Venus − Mars),reverse,O1,,Hellenistic,,,,pending_review,
6,lusby-traditional-0006,Adulterio 2,Adultery 2,,Asc,Venus,Mars,normalizar360(Asc + Venus − Mars),normalizar360(Asc + Mars − Venus),reverse,MSP,MSV,Hellenistic,,,,pending_review,
7,lusby-traditional-0007,Agricultura,Agriculture,,Asc,Saturn,Venus,normalizar360(Asc + Saturn − Venus),normalizar360(Asc + Saturn − Venus),,GI,Q,Medieval,,,,pending_review,
8,lusby-traditional-0008,Aire y viento,Air and Wind,Rain,Asc,Ruler Mercury,Mercury,normalizar360(Asc + Ruler Mercury − Mercury),normalizar360(Asc + Ruler Mercury − Mercury),,UT,"B, R","Medieval, Weather",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
9,lusby-traditional-0009,Aire y viento (Mercurio en Virgo),Air and Wind (Mercury in Virgo),Rain,Asc,Mercury,0 Virgo,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,UT,,"Medieval, Weather",,,,conditional,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Condición indicada en el nombre; conservar y revisar por separado de la columna nocturna.
10,lusby-traditional-0010,Aire y viento (Mercurio en Géminis),Air and Wind (Mercury in Gemini),Rain,Asc,Mercury,0 Gemini,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,UT,,"Medieval, Weather",,,,conditional,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Condición indicada en el nombre; conservar y revisar por separado de la columna nocturna.
